code,code_type,short_description,long_description
992141,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
C34.90-5073,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-2945,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-4225,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-2383,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
J18.9-4142,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
800537,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
Z00.00-1621,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-3815,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
I10-4455,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-4674,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
I10-3498,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
C34.90-676,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
N39.0-2726,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
J18.9-4532,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
810012,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
R07.9-4885,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
Z00.00-1433,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
R07.9-2015,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
Z00.00-140,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-4827,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
R07.9-4762,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-4404,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
R07.9-2827,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
Z00.00-1079,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
A41.9-5860,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
I10-3339,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-1578,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
710208,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
Z00.00-247,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
930005,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-3411,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-3689,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
R07.9-112,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-1698,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
A41.9-3990,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-3827,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-3873,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
